date_created,borough,block,lot,current_uses,total_area,structure_completed,number_structures,total_gross_area_structures,ratio_building_to_floor_area,allowable_building_to_floor_area,land_use_category,community_board,census_tract,census_block,school_dist,council_district,fire_comp,police_prct,major_use,number_of_easements,commercial_floor_area,residential_floor_area,office_floor_area,retail_floor_area,garage_floor_area,storage_floor_area,factory_floor_area,other_floor_area,num_floors,residential_units,residential_and_non-residential_units,lot_front,lot_depth,bldg_front,bldg_depth,proximity_code,irr_lot_code,lot_type_code,bsmt_code,assess_land,exempt_land,exempt_tot,year_alter_1,year_alter_2,zone_dist_1,bin,structure_completed_2,new_zone_dist,assess_range
2013-12-11,1,2,1,"FERRY TERMINAL, WATERFRONT PROPERTY, NO USE",209215,1900,2,280000,1.34,0.0,7,101,9,1019,2,1,L015,1,Y7,0,280000,0,0,0,0,0,0,280000,5.0,0,0,709.42,564.42,268.0,210.0,0,Y,5,5,18818100.0,18818100.0,28818505.0,2006,0,M1-4,1000000,Yes,Manufacturing,high
2013-12-11,1,2,23,"NO USE, FINAL COMMITMNT-DISP, IN USE-TENANTED, LONG-TERM AGREEMENT",510025,1987,1,24346,0.05,10.0,7,101,9,1017,2,1,L015,1,T2,0,24346,0,0,0,0,0,0,24346,2.0,0,0,793.67,551.0,85.0,551.0,0,Y,5,5,15255450.0,15255450.0,19034100.0,0,0,C4-6,1075697,Yes,Commercial,high
2013-12-11,1,3,1,PARK,945425,1951,5,945425,1.0,0.0,9,101,13,2005,2,1,E010,1,Q1,0,945425,0,0,0,0,0,0,945425,1.0,0,4,323.0,1260.0,89.0,57.0,1,Y,1,0,127100700.0,127100700.0,128720250.0,0,0,PARK,1000000,Yes,Park,high
2013-12-11,1,3,3,PARK,33600,0,1,0,0.0,0.0,9,101,9,1020,2,1,L015,1,Q1,0,0,0,0,0,0,0,0,0,0.0,0,1,180.0,370.0,0.0,0.0,1,Y,1,0,3935250.0,3935250.0,3935250.0,0,0,PARK,1085598,No,Park,high
2013-12-11,1,6,1,PARK,35166,0,0,0,0.0,0.0,9,101,9,1017,2,1,L015,1,Q9,1,0,0,0,0,0,0,0,0,0.0,0,0,234.67,349.33,0.0,0.0,0,Y,5,5,23193450.0,23193450.0,23193450.0,0,0,PARK,1000000,No,Park,high
2013-12-11,1,12,28,PARK,22500,0,0,0,0.0,0.0,9,101,13,2012,2,1,L015,1,Q1,0,0,0,0,0,0,0,0,0,0.0,0,0,200.0,140.0,0.0,0.0,0,Y,1,5,5562000.0,5562000.0,5562000.0,0,0,PARK,1000000,No,Park,high
2013-12-11,1,16,1,"FERRY TERMINAL, WATERFRONT PROPERTY, NO USE, FINAL COMMITMNT-DISP, IN USE-TENANTED, LONG-TERM AGREEMENT",83100,1910,1,28732,0.35,10.0,7,101,317.04,4001,2,1,L015,1,Y7,0,28732,0,0,0,0,0,0,28732,3.0,0,1,77.0,293.0,40.0,323.0,1,Y,5,0,3253500.0,3253500.0,6781500.0,2012,0,C6-4,1085492,Yes,Commercial,high
2013-12-11,1,17,45,GARAGE,67342,1967,1,112000,1.66,10.0,7,101,13,2004,2,1,E010,1,T9,0,112000,0,0,0,0,0,0,112000,8.0,1,1,389.14,179.35,116.0,165.0,0,Y,3,5,10197000.0,0.0,0.0,0,0,C6-9,1088913,Yes,Commercial,high
2013-12-11,1,18,100,OTHER TRANS FACILITY,183456,1949,2,193026,1.05,10.0,7,101,13,2006,2,1,E010,1,T9,0,193026,0,0,0,2127,0,0,190899,7.0,0,1,1020.32,176.34,249.0,176.0,0,Y,5,5,33021900.0,0.0,0.0,0,0,C6-9,1078977,Yes,Commercial,high
2013-12-11,1,20,16,AGCY OFFICE,15722,1983,1,309381,19.68,10.0,5,101,13,2009,2,1,E010,1,O3,0,309381,0,298081,11300,0,0,0,0,31.0,0,41,79.0,201.0,79.0,201.0,2,Y,3,2,6165000.0,0.0,0.0,0,0,C5-5,1000807,Yes,Commercial,high
